Employee_ID,Department,Job_Title,productivity_score,engagement_score,risk_score,swot_category,outlier,anomaly_level
187,Legal,Engineer,2.08,1.02,,Opportunity,0,Low
188,IT,Specialist,1.59,2.84,,Opportunity,0,Low
189,Customer Support,Specialist,1.85,0.79,,Opportunity,0,Low
190,Operations,Consultant,1.24,1.14,,Opportunity,0,Low
191,HR,Analyst,1.83,0.26,,Opportunity,0,Low
192,Engineering,Analyst,2.1,1.49,,Opportunity,0,Low
193,Finance,Specialist,1.15,1.75,,Opportunity,0,Low
194,IT,Analyst,1.74,0.89,,Opportunity,0,Low
195,IT,Specialist,2.26,0.95,,Opportunity,0,Low
196,Legal,Engineer,2.13,1.39,,Opportunity,0,Low
197,HR,Technician,0.82,1.4,,Opportunity,0,Medium
198,HR,Analyst,2.09,2.65,,Opportunity,0,Low
199,IT,Developer,1.67,0.5,,Opportunity,0,Medium
200,Operations,Consultant,0.88,2.61,,Opportunity,0,Medium
201,Finance,Analyst,1.86,1.23,,Opportunity,0,Low
202,Operations,Specialist,1.9,2.65,,Opportunity,0,Low
203,Engineering,Consultant,1.34,2.05,,Opportunity,0,Low
204,Customer Support,Analyst,1.34,0.82,,Weakness,0,Low
205,HR,Technician,1.42,1.33,,Opportunity,0,Medium
206,Marketing,Engineer,1.46,3.78,,Opportunity,1,High
207,Customer Support,Manager,2.15,1.22,,Opportunity,1,High
208,Sales,Developer,1.25,2.05,,Opportunity,0,Medium
209,Engineering,Developer,2.44,2.45,,Opportunity,0,Low
210,Legal,Consultant,1.99,1.51,,Opportunity,0,Low
211,Finance,Specialist,2.57,1.48,,Opportunity,0,Low
212,Marketing,Manager,1.62,2.17,,Opportunity,0,Low
213,Operations,Developer,1.8,1.12,,Opportunity,0,Low
214,Legal,Specialist,2.02,1.8,,Opportunity,0,Low
215,Operations,Developer,1.72,0.63,,Opportunity,0,Low
216,Sales,Manager,1.41,3.05,,Opportunity,0,Low
217,Operations,Engineer,1.4,1.24,,Opportunity,0,Low
218,Legal,Analyst,1.7,1.48,,Opportunity,0,Low
219,Engineering,Engineer,2.29,1.95,,Opportunity,0,Low
220,Customer Support,Engineer,1.66,2.64,,Opportunity,0,Medium
221,Operations,Consultant,1.76,1.21,,Opportunity,0,Low
222,Customer Support,Developer,1.87,2.05,,Opportunity,0,Low
223,Legal,Analyst,1.66,1.35,,Opportunity,0,Medium
224,Engineering,Engineer,1.92,1.91,,Opportunity,0,Low
225,Sales,Specialist,1.04,1.25,,Opportunity,0,Medium
226,Sales,Manager,2.01,3.17,,Opportunity,0,Low
227,HR,Engineer,2.72,0.47,,Opportunity,0,Low
228,Operations,Developer,1.79,2.54,,Opportunity,0,Low
229,IT,Consultant,2.12,2.31,,Opportunity,0,Low
230,Legal,Engineer,1.9,2.24,,Opportunity,0,Low
231,Operations,Manager,1.64,1.52,,Opportunity,0,Low
232,Customer Support,Analyst,2.12,1.73,,Opportunity,0,Low
233,Sales,Technician,1.54,1.38,,Opportunity,0,Low
234,Finance,Analyst,2.51,1.42,,Opportunity,0,Low
235,Marketing,Analyst,1.81,2.22,,Opportunity,0,Low
236,HR,Technician,2.0,2.89,,Opportunity,0,Medium
237,Marketing,Technician,1.51,2.19,,Opportunity,0,Low
238,Sales,Engineer,1.62,0.49,,Opportunity,0,Low
239,Operations,Consultant,2.08,2.76,,Opportunity,0,Low
240,Finance,Manager,2.21,2.32,,Opportunity,0,Low
241,HR,Developer,1.57,0.15,,Opportunity,0,Low
242,Engineering,Manager,1.03,3.07,,Opportunity,1,High
243,Finance,Developer,1.8,2.3,,Opportunity,0,Low
244,IT,Analyst,1.78,1.88,,Opportunity,0,Medium
245,HR,Manager,2.14,2.92,,Opportunity,0,Medium
246,IT,Specialist,2.74,2.92,,Opportunity,1,High
247,Marketing,Technician,1.97,0.44,,Opportunity,0,Medium
248,HR,Analyst,1.98,2.56,,Opportunity,0,Low
249,Legal,Consultant,2.09,0.21,,Opportunity,0,Low
250,Customer Support,Technician,1.96,1.32,,Opportunity,0,Low
251,Engineering,Technician,1.5,2.29,,Opportunity,0,Low
252,IT,Consultant,1.84,1.23,,Opportunity,0,Low
253,Operations,Specialist,1.75,2.86,,Opportunity,0,Low
254,Legal,Consultant,2.17,1.3,,Opportunity,0,Low
255,Marketing,Developer,0.92,0.52,,Weakness,1,High
256,Operations,Consultant,1.96,2.54,,Opportunity,0,Low
257,Engineering,Specialist,1.22,1.3,,Opportunity,0,Low
258,HR,Specialist,1.9,1.27,,Opportunity,0,Low
259,Sales,Technician,2.67,2.5,,Opportunity,0,Low
260,Marketing,Manager,1.88,1.99,,Opportunity,0,Medium
261,Marketing,Developer,1.43,2.59,,Opportunity,0,Medium
262,Operations,Technician,1.31,1.04,,Weakness,0,Low
263,HR,Developer,2.01,1.83,,Opportunity,0,Medium
264,IT,Manager,2.05,1.32,,Opportunity,0,Low
265,Marketing,Engineer,2.53,1.2,,Opportunity,0,Low
266,IT,Technician,2.23,1.14,,Opportunity,0,Low
267,Finance,Developer,1.45,0.93,,Weakness,0,Low
268,IT,Manager,1.35,3.24,,Opportunity,0,Medium
269,Operations,Technician,1.71,2.95,,Opportunity,0,Low
270,IT,Manager,1.31,0.71,,Weakness,0,Low
271,Sales,Specialist,1.95,0.22,,Opportunity,0,Low
272,Operations,Consultant,1.42,1.0,,Weakness,0,Low
273,Marketing,Manager,1.99,2.38,,Opportunity,0,Low
274,Operations,Engineer,1.59,1.81,,Opportunity,0,Low
275,IT,Technician,1.81,0.62,,Opportunity,0,Low
276,Marketing,Consultant,2.17,3.26,,Opportunity,1,High
277,Engineering,Engineer,1.56,2.42,,Opportunity,0,Low
278,Legal,Consultant,1.77,0.26,,Opportunity,0,Low
279,Operations,Developer,1.27,1.73,,Opportunity,0,Low
280,Customer Support,Consultant,1.35,2.78,,Opportunity,0,Low
281,Sales,Analyst,1.15,0.17,,Weakness,0,Medium
282,Engineering,Consultant,2.11,1.3,,Opportunity,0,Low
283,Customer Support,Engineer,1.7,3.65,,Opportunity,1,High
284,IT,Technician,2.64,3.33,,Opportunity,1,High
285,Marketing,Manager,2.4,3.53,,Opportunity,1,High
286,HR,Manager,1.28,0.39,,Weakness,1,High
287,HR,Consultant,2.09,2.5,,Opportunity,0,Low
288,Finance,Analyst,2.73,1.72,,Opportunity,0,Medium
289,Operations,Manager,2.35,2.14,,Opportunity,0,Low
290,Legal,Analyst,1.91,0.36,,Opportunity,0,Low
291,Engineering,Consultant,2.61,2.9,,Opportunity,0,Low
292,Sales,Analyst,1.68,1.88,,Opportunity,0,Low
293,Sales,Developer,2.16,0.83,,Opportunity,0,Low
294,Operations,Consultant,1.83,2.34,,Opportunity,0,Low
295,Sales,Specialist,1.4,0.7,,Weakness,0,Medium
296,HR,Consultant,1.62,2.19,,Opportunity,0,Medium
297,Operations,Consultant,2.26,1.88,,Opportunity,0,Low
298,Customer Support,Analyst,1.61,2.12,,Opportunity,0,Medium
299,Engineering,Engineer,2.13,2.1,,Opportunity,1,High
300,Finance,Technician,1.14,1.03,,Weakness,0,Low
301,Marketing,Developer,2.1,1.3,,Opportunity,0,Low
302,Customer Support,Developer,2.66,1.74,,Opportunity,0,Low
303,Sales,Analyst,2.6,1.57,,Opportunity,0,Low
304,Operations,Consultant,1.76,0.13,,Opportunity,1,High
305,Engineering,Analyst,0.79,2.77,,Opportunity,1,High
306,Legal,Developer,2.17,1.52,,Opportunity,0,Low
307,Engineering,Technician,1.23,0.97,,Weakness,0,Low
308,Sales,Analyst,1.35,0.57,,Weakness,1,High
309,Marketing,Manager,1.7,0.61,,Opportunity,0,Medium
310,Marketing,Consultant,1.57,2.2,,Opportunity,0,Low
311,Finance,Developer,1.76,2.66,,Opportunity,0,Low
312,Customer Support,Engineer,1.9,0.56,,Opportunity,0,Low
313,Customer Support,Consultant,0.92,1.2,,Opportunity,1,High
314,Engineering,Analyst,1.74,0.89,,Opportunity,0,Medium
315,Sales,Manager,1.18,2.17,,Opportunity,0,Low
316,Sales,Analyst,1.75,2.24,,Opportunity,0,Low
317,Operations,Consultant,1.58,1.65,,Opportunity,0,Low
318,Finance,Engineer,1.7,0.68,,Opportunity,0,Low
319,Sales,Engineer,1.69,1.7,,Opportunity,0,Low
320,Sales,Engineer,1.77,2.36,,Opportunity,0,Low
321,Finance,Specialist,0.88,2.25,,Opportunity,0,Medium
322,Engineering,Consultant,1.02,1.88,,Opportunity,1,High
323,IT,Manager,2.18,0.62,,Opportunity,0,Low
324,Marketing,Consultant,0.97,1.43,,Opportunity,1,High
325,Finance,Analyst,1.89,1.56,,Opportunity,0,Low
326,HR,Developer,1.99,2.52,,Opportunity,0,Low
327,Finance,Consultant,2.17,2.72,,Opportunity,0,Low
328,Finance,Developer,2.11,1.87,,Opportunity,0,Low
329,Legal,Consultant,1.44,1.06,,Opportunity,0,Low
330,Operations,Specialist,1.92,2.28,,Opportunity,0,Low
331,Marketing,Consultant,2.35,0.78,,Opportunity,0,Low
332,HR,Technician,2.41,1.87,,Opportunity,0,Low
333,Operations,Engineer,2.46,1.77,,Opportunity,0,Low
334,Operations,Technician,1.25,2.3,,Opportunity,0,Low
335,Finance,Consultant,1.96,2.22,,Opportunity,0,Low
336,IT,Consultant,1.7,2.4,,Opportunity,0,Low
337,Customer Support,Engineer,1.0,2.52,,Opportunity,1,High
338,Operations,Developer,1.01,1.27,,Opportunity,0,Low
339,Finance,Specialist,2.19,0.01,,Opportunity,1,High
340,Legal,Specialist,1.95,0.52,,Opportunity,0,Low
341,Marketing,Engineer,1.45,1.62,,Opportunity,0,Low
342,Finance,Manager,1.55,1.47,,Opportunity,0,Low
343,Finance,Manager,2.55,1.9,,Opportunity,0,Low
344,Customer Support,Analyst,1.91,1.45,,Opportunity,0,Low
345,Operations,Developer,1.73,0.04,,Opportunity,0,Low
346,Operations,Analyst,1.68,0.73,,Opportunity,0,Low
347,HR,Analyst,1.81,3.28,,Opportunity,0,Low
348,HR,Consultant,1.35,0.81,,Weakness,1,High
349,Sales,Technician,2.08,2.1,,Opportunity,0,Low
350,Engineering,Manager,1.9,0.0,,Opportunity,0,Low
351,IT,Developer,2.62,2.94,,Opportunity,0,Low
352,HR,Engineer,1.19,1.78,,Opportunity,0,Medium
353,Legal,Specialist,1.42,3.1,,Opportunity,0,Low
354,Legal,Analyst,1.48,1.23,,Opportunity,0,Low
355,Customer Support,Technician,2.23,1.92,,Opportunity,0,Low
356,HR,Developer,1.18,2.84,,Opportunity,0,Medium
357,Operations,Specialist,1.63,2.57,,Opportunity,0,Low
358,Sales,Technician,2.47,1.11,,Opportunity,0,Low
359,Operations,Technician,2.17,1.93,,Opportunity,0,Low
360,Finance,Consultant,1.23,1.97,,Opportunity,0,Low
361,HR,Engineer,2.04,1.56,,Opportunity,0,Low
362,Sales,Specialist,1.94,0.92,,Opportunity,0,Low
363,IT,Specialist,1.96,2.74,,Opportunity,0,Low
364,Customer Support,Engineer,1.83,1.36,,Opportunity,0,Low
365,Legal,Technician,1.41,2.47,,Opportunity,0,Low
366,Marketing,Manager,2.05,2.05,,Opportunity,0,Low
367,Marketing,Technician,0.89,1.68,,Opportunity,1,High
368,Marketing,Manager,1.98,1.05,,Opportunity,0,Low
369,Legal,Engineer,1.74,1.56,,Opportunity,0,Low
370,HR,Manager,2.07,2.29,,Opportunity,0,Low
371,Engineering,Consultant,1.59,1.36,,Opportunity,0,Low
372,Customer Support,Specialist,2.75,1.82,,Opportunity,0,Low
373,Customer Support,Specialist,1.34,1.38,,Opportunity,0,Medium
374,IT,Manager,1.53,0.42,,Opportunity,0,Low
375,Operations,Manager,1.81,0.26,,Opportunity,0,Low
376,HR,Analyst,1.08,0.0,,Weakness,1,High
377,Finance,Manager,1.21,1.99,,Opportunity,0,Low
378,Engineering,Developer,2.63,1.35,,Opportunity,0,Low
379,Sales,Engineer,1.3,0.81,,Weakness,0,Low
380,Customer Support,Specialist,1.15,2.59,,Opportunity,0,Low
381,Operations,Technician,2.07,3.06,,Opportunity,0,Medium
382,Customer Support,Specialist,1.29,1.99,,Opportunity,0,Low
383,Marketing,Specialist,1.73,2.39,,Opportunity,0,Low
384,Engineering,Developer,1.48,1.75,,Opportunity,0,Low
385,Sales,Manager,1.84,0.97,,Opportunity,0,Low
386,Operations,Manager,1.58,2.37,,Opportunity,0,Low
387,Sales,Manager,2.44,0.91,,Opportunity,0,Medium
388,Operations,Manager,1.07,1.78,,Opportunity,0,Low
389,Finance,Technician,1.9,2.47,,Opportunity,0,Low
390,IT,Developer,1.88,2.39,,Opportunity,0,Low
391,Engineering,Manager,1.54,3.04,,Opportunity,0,Low
392,Finance,Manager,1.98,0.85,,Opportunity,0,Low
393,Finance,Technician,1.75,3.14,,Opportunity,0,Low
394,Marketing,Engineer,1.85,3.17,,Opportunity,0,Low
395,IT,Engineer,1.48,2.78,,Opportunity,0,Medium
396,Customer Support,Developer,1.1,1.36,,Opportunity,0,Low
397,Finance,Developer,2.24,1.08,,Opportunity,0,Low
398,Legal,Technician,1.81,0.82,,Opportunity,0,Low
399,Finance,Technician,1.58,2.02,,Opportunity,0,Low
400,HR,Technician,1.65,3.06,,Opportunity,0,Low
401,Marketing,Specialist,1.55,1.4,,Opportunity,0,Low
402,Finance,Engineer,1.66,2.96,,Opportunity,0,Low
403,HR,Consultant,2.27,0.34,,Opportunity,0,Low
404,IT,Specialist,1.26,1.34,,Opportunity,0,Low
405,Customer Support,Consultant,1.98,2.89,,Opportunity,0,Medium
406,Sales,Engineer,1.34,0.0,,Weakness,0,Medium
407,HR,Analyst,1.62,2.44,,Opportunity,0,Low
408,IT,Developer,1.69,1.67,,Opportunity,0,Low
409,IT,Analyst,2.19,1.78,,Opportunity,0,Medium
410,Engineering,Specialist,1.41,1.01,,Weakness,0,Low
411,Engineering,Engineer,2.17,2.37,,Opportunity,0,Low
412,Marketing,Technician,2.49,1.83,,Opportunity,0,Low
413,Customer Support,Developer,1.08,0.58,,Weakness,1,High
414,Engineering,Analyst,1.73,3.41,,Opportunity,0,Medium
415,Customer Support,Technician,2.57,2.0,,Opportunity,0,Low
416,IT,Developer,1.31,1.85,,Opportunity,0,Low
417,Operations,Manager,1.45,1.07,,Opportunity,0,Low
418,IT,Specialist,1.4,2.14,,Opportunity,0,Low
419,Customer Support,Engineer,2.17,2.18,,Opportunity,0,Low
420,Marketing,Engineer,2.35,0.59,,Opportunity,0,Low
421,Legal,Technician,2.01,0.9,,Opportunity,0,Low
422,Marketing,Technician,2.0,2.46,,Opportunity,0,Low
423,Marketing,Engineer,1.2,0.61,,Weakness,1,High
424,Finance,Manager,2.55,0.69,,Opportunity,0,Medium
425,IT,Developer,0.96,0.42,,Weakness,0,Low
426,Sales,Engineer,1.72,1.83,,Opportunity,0,Low
427,Finance,Developer,2.77,1.34,,Opportunity,0,Low
428,Customer Support,Engineer,1.77,2.2,,Opportunity,0,Low
429,HR,Engineer,1.69,0.65,,Opportunity,0,Low
430,IT,Manager,1.35,1.98,,Opportunity,0,Low
431,Engineering,Developer,1.44,2.03,,Opportunity,0,Low
432,Engineering,Developer,1.87,0.41,,Opportunity,0,Low
433,Customer Support,Consultant,1.54,0.65,,Opportunity,0,Low
434,Marketing,Technician,2.04,0.63,,Opportunity,0,Medium
435,Operations,Specialist,2.23,3.22,,Opportunity,0,Low
436,Sales,Manager,1.76,0.4,,Opportunity,0,Low
437,Legal,Consultant,1.84,2.24,,Opportunity,0,Low
438,Operations,Manager,1.91,0.86,,Opportunity,0,Low
439,Marketing,Analyst,1.19,0.75,,Weakness,0,Low
440,Legal,Engineer,1.9,0.19,,Opportunity,0,Low
441,HR,Consultant,2.15,1.06,,Opportunity,0,Low
442,Engineering,Analyst,1.76,0.99,,Opportunity,0,Low
443,Customer Support,Engineer,2.39,1.6,,Opportunity,0,Low
444,HR,Analyst,2.38,3.16,,Opportunity,0,Medium
445,HR,Manager,2.02,0.54,,Opportunity,0,Low
446,Sales,Specialist,2.45,1.54,,Opportunity,0,Low
447,Marketing,Consultant,2.33,1.65,,Opportunity,0,Low
448,Sales,Developer,2.06,1.19,,Opportunity,0,Low
449,Marketing,Consultant,2.58,1.46,,Opportunity,0,Medium
450,IT,Technician,2.18,1.44,,Opportunity,0,Low
451,Customer Support,Engineer,0.92,0.71,,Weakness,1,High
