Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned,productivity_score,engagement_score,risk_score,work_life_balance_score,tenure_factor,cluster,swot_category,outlier,attrition_probability,attrition_risk_level
31,Customer Support,Male,58,Consultant,2018-05-14 08:03:05.556036,6,Bachelor,1,6050.0,38,15,25,2,50,12,16,2,4.65,False,0.88,2.31,,3,4,3,Opportunity,0,0.10033567001610978,Low
32,Legal,Female,24,Manager,2023-06-12 08:03:05.556036,1,High School,4,8400.0,39,25,7,7,50,18,22,0,1.95,False,1.82,0.16,,4,1,2,Opportunity,0,0.09932075975981906,Very Low
33,Customer Support,Male,29,Analyst,2024-06-13 08:03:05.556036,0,High School,2,4800.0,48,49,16,14,50,17,37,0,4.43,False,1.49,0.28,,3,1,2,Opportunity,0,0.09886036865990737,Very Low
34,Sales,Female,25,Engineer,2021-09-11 08:03:05.556036,2,PhD,4,8400.0,44,26,24,8,75,18,37,2,2.1,False,1.88,1.45,,3,2,2,Opportunity,0,0.1000970448103975,Low
35,Marketing,Male,41,Analyst,2019-05-23 08:03:05.556036,5,Master,4,5600.0,34,13,0,10,75,14,36,1,1.94,False,1.54,0.64,,5,3,0,Opportunity,0,0.0995088657939711,Very Low
36,HR,Female,42,Engineer,2019-10-12 08:03:05.556036,4,Master,5,9000.0,31,9,18,11,100,8,21,1,4.21,False,1.79,0.7,,3,3,3,Opportunity,0,0.09668074172424664,Very Low
37,Sales,Male,43,Consultant,2024-04-04 08:03:05.556036,0,High School,2,6600.0,53,42,10,2,0,16,18,1,4.97,False,1.75,1.94,,4,1,2,Opportunity,0,0.09831330528515758,Very Low
38,Sales,Other,46,Consultant,2015-01-13 08:03:05.556036,9,Master,2,6600.0,31,6,15,7,0,2,48,0,2.47,False,0.9,0.94,,4,4,1,Weakness,0,0.10156227923622015,Low
39,IT,Male,48,Specialist,2022-02-03 08:03:05.556036,2,Bachelor,1,4950.0,46,7,1,1,0,11,6,1,2.66,False,0.72,1.19,,5,2,1,Weakness,1,0.10179877889331039,Low
40,HR,Female,58,Engineer,2023-04-11 08:03:05.556036,1,Bachelor,5,9000.0,44,2,2,8,100,14,85,1,4.22,False,2.04,2.68,,5,1,2,Opportunity,0,0.09749694047658045,Very Low
41,HR,Female,44,Analyst,2020-12-25 08:03:05.556036,3,Bachelor,2,4800.0,59,45,9,13,0,16,28,2,2.9,True,1.42,0.8,,4,2,1,Weakness,0,0.10055298111853482,Low
42,Marketing,Male,29,Specialist,2021-10-31 08:03:05.556036,2,High School,4,6300.0,33,10,6,2,25,8,28,2,4.84,False,1.83,2.66,,4,2,2,Opportunity,0,0.09687354979329305,Very Low
43,Customer Support,Male,60,Engineer,2016-08-11 08:03:05.556036,8,Bachelor,3,7800.0,46,48,4,6,75,13,21,0,3.59,False,1.98,0.67,,5,4,0,Opportunity,0,0.09820298161060971,Very Low
44,Marketing,Female,43,Manager,2021-05-21 08:03:05.556036,3,High School,3,7800.0,43,25,2,3,0,7,85,0,3.32,False,1.89,2.58,,5,2,0,Opportunity,0,0.09970443456397107,Very Low
45,Customer Support,Female,46,Developer,2021-03-03 08:03:05.556036,3,Master,2,6000.0,58,7,29,3,25,12,4,1,2.53,False,1.02,0.86,,2,2,1,Weakness,1,0.10207722152392308,Low
46,HR,Female,29,Specialist,2016-06-12 08:03:05.556036,8,High School,2,5400.0,31,19,11,6,75,7,90,1,1.59,False,1.27,2.4,,4,4,0,Opportunity,0,0.10265134802691667,Low
47,HR,Male,32,Technician,2021-04-03 08:03:05.556036,3,Bachelor,4,4900.0,41,19,26,1,75,5,21,2,1.27,False,1.9,1.72,,2,2,3,Opportunity,0,0.1009153731015864,Low
48,Operations,Male,31,Specialist,2023-11-23 08:03:05.556036,0,Bachelor,1,4950.0,45,31,20,2,75,15,82,2,4.84,False,1.41,4.01,,3,1,2,Opportunity,0,0.10065137582480548,Low
49,Legal,Male,40,Specialist,2016-06-02 08:03:05.556036,8,High School,5,6750.0,59,49,0,2,100,17,13,1,2.9,False,2.8,1.3,,5,4,0,Opportunity,1,0.09714991054115242,Very Low
50,Operations,Other,57,Developer,2020-01-24 08:03:05.556036,4,High School,2,6000.0,53,10,19,13,50,3,15,0,1.47,False,0.72,-0.88,,3,3,1,Weakness,1,0.1026758149661232,Low
51,Legal,Female,35,Consultant,2019-09-13 08:03:05.556036,4,Bachelor,1,6050.0,55,26,29,4,100,2,28,1,3.02,False,1.06,1.46,,2,3,3,Opportunity,0,0.10234511385758421,Low
52,HR,Male,40,Developer,2017-03-21 08:03:05.556036,7,Bachelor,2,6000.0,46,9,12,8,25,10,18,1,1.43,False,0.85,0.31,,4,4,1,Weakness,0,0.10248519748072628,Low
53,Engineering,Male,28,Consultant,2015-06-03 08:03:05.556036,9,Bachelor,3,7150.0,38,34,4,3,0,5,12,0,2.56,False,1.75,0.56,,5,4,0,Opportunity,0,0.0992469795321227,Very Low
54,Engineering,Female,37,Technician,2015-10-24 08:03:05.556036,8,High School,2,4200.0,50,22,0,8,100,1,92,1,1.1,False,1.32,2.07,,5,4,0,Opportunity,0,0.10323406428128452,Low
55,Operations,Female,34,Technician,2015-08-15 08:03:05.556036,9,High School,5,5250.0,32,26,6,6,25,3,68,1,1.87,True,2.32,1.92,,4,4,0,Opportunity,0,0.09889584918999483,Very Low
56,Marketing,Female,34,Developer,2021-11-25 08:03:05.556036,2,Bachelor,3,6500.0,41,18,21,3,75,8,7,0,1.7,False,1.45,0.22,,3,2,1,Weakness,0,0.10099720491746274,Low
57,Customer Support,Female,33,Specialist,2016-04-17 08:03:05.556036,8,PhD,1,4950.0,33,46,28,8,75,1,36,2,2.64,True,1.18,1.56,,2,4,3,Opportunity,0,0.10183961680128474,Low
58,Finance,Male,23,Developer,2019-07-21 08:03:05.556036,5,Bachelor,4,7000.0,32,42,8,12,0,3,27,2,3.97,False,1.99,1.17,,4,3,0,Opportunity,0,0.09697569342136418,Very Low
59,IT,Other,52,Technician,2024-07-03 08:03:05.556036,0,High School,3,4550.0,53,7,5,2,25,12,74,2,4.23,True,1.66,3.66,,5,1,2,Opportunity,0,0.09953011452324077,Very Low
60,Customer Support,Female,54,Manager,2019-09-05 08:03:05.556036,5,Bachelor,1,6600.0,51,17,19,8,50,5,99,1,3.02,False,0.99,2.73,,3,3,3,Opportunity,0,0.10307986777399146,Low
61,Operations,Female,34,Consultant,2021-05-21 08:03:05.556036,3,Bachelor,2,6600.0,40,17,14,4,50,6,20,1,2.32,False,1.13,1.08,,4,2,1,Weakness,0,0.10135378766872774,Low
62,Engineering,Male,53,Specialist,2017-07-11 08:03:05.556036,7,High School,5,6750.0,43,44,0,13,75,16,75,2,2.15,False,2.47,1.79,,5,4,0,Opportunity,1,0.09840376431059494,Very Low
63,Sales,Male,27,Manager,2018-05-23 08:03:05.556036,6,Bachelor,3,7800.0,44,29,12,0,75,18,73,1,2.26,False,1.99,2.89,,4,4,0,Opportunity,0,0.10092222147964287,Low
64,Finance,Female,58,Manager,2018-01-23 08:03:05.556036,6,High School,4,8400.0,50,10,14,9,25,17,21,0,1.68,True,1.53,-0.18,,4,4,1,Weakness,0,0.10039542057982555,Low
65,Sales,Female,41,Specialist,2018-11-19 08:03:05.556036,5,Bachelor,1,4950.0,41,37,13,9,75,5,3,0,4.33,False,0.98,0.03,,4,3,1,Weakness,0,0.09951462545452087,Very Low
66,Legal,Male,37,Technician,2024-07-16 08:03:05.556036,0,Bachelor,4,4900.0,54,32,4,3,25,2,12,1,2.13,False,2.1,0.96,,5,1,2,Opportunity,0,0.0992182753339892,Very Low
67,Sales,Male,49,Manager,2017-01-03 08:03:05.556036,7,Master,2,7200.0,55,30,19,0,75,19,93,0,4.26,False,1.85,3.39,,3,4,3,Opportunity,0,0.10053533102436545,Low
68,HR,Male,39,Consultant,2024-08-14 08:03:05.556036,0,Bachelor,2,6600.0,53,10,17,14,50,3,64,2,2.45,False,0.88,1.46,,3,1,2,Opportunity,0,0.10239259935434186,Low
69,Operations,Female,38,Specialist,2016-07-21 08:03:05.556036,8,Bachelor,4,6300.0,52,6,9,6,0,5,9,0,2.42,False,1.56,0.08,,4,4,1,Weakness,0,0.09950186792149855,Very Low
70,Sales,Male,52,Manager,2015-11-26 08:03:05.556036,8,Master,1,6600.0,32,2,13,11,25,16,8,0,4.45,False,0.31,-0.06,,4,4,1,Weakness,1,0.10003564330594537,Low
71,IT,Female,42,Developer,2023-01-13 08:03:05.556036,1,High School,1,5500.0,53,20,13,8,100,8,75,1,4.49,False,1.02,2.5,,4,1,2,Opportunity,0,0.10105581137662642,Low
72,Engineering,Female,42,Analyst,2023-07-17 08:03:05.556036,1,Master,4,5600.0,53,1,16,11,50,11,15,2,3.55,False,1.37,0.89,,3,1,2,Opportunity,0,0.09890513622169309,Very Low
73,Sales,Female,33,Developer,2023-01-08 08:03:05.556036,1,Bachelor,2,6000.0,36,42,15,1,0,5,41,0,1.31,False,1.66,1.23,,4,1,2,Opportunity,0,0.10196775065396502,Low
74,Legal,Female,47,Developer,2020-01-18 08:03:05.556036,4,Bachelor,2,6000.0,37,6,15,1,0,12,8,1,4.98,False,1.08,1.82,,4,3,1,Weakness,0,0.09876530056612025,Very Low
75,HR,Female,33,Consultant,2024-04-29 08:03:05.556036,0,High School,2,6600.0,31,6,24,10,75,10,1,1,1.39,False,0.61,-0.38,,3,1,1,Weakness,1,0.10235802320265001,Low
76,Engineering,Male,47,Consultant,2018-04-11 08:03:05.556036,6,High School,4,7700.0,55,36,22,3,100,10,84,1,1.75,False,2.4,2.66,,3,4,3,Opportunity,0,0.1010120585715295,Low
77,Customer Support,Male,31,Technician,2017-05-24 08:03:05.556036,7,PhD,3,4550.0,32,46,19,0,50,19,82,0,3.2,False,2.28,2.85,,3,4,3,Opportunity,0,0.09956725464352101,Very Low
78,Sales,Male,28,Developer,2020-10-17 08:03:05.556036,3,Master,5,7500.0,42,28,6,6,25,1,38,1,3.55,False,2.35,1.59,,4,2,2,Opportunity,0,0.0970558131283588,Very Low
79,Legal,Male,46,Consultant,2016-02-05 08:03:05.556036,8,High School,3,7150.0,60,36,27,13,25,5,94,2,3.5,True,1.85,2.6,,2,4,3,Opportunity,1,0.10062341928777875,Low
80,Customer Support,Female,54,Specialist,2019-02-20 08:03:05.556036,5,High School,1,4950.0,31,27,5,6,0,12,53,1,2.09,False,0.96,1.6,,5,3,1,Weakness,0,0.10226084963777507,Low
81,Legal,Female,55,Developer,2024-05-07 08:03:05.556036,0,Master,3,6500.0,38,12,25,6,100,13,94,0,3.75,False,1.6,2.54,,3,1,2,Opportunity,0,0.10024100425327653,Low
82,Customer Support,Female,23,Specialist,2016-12-14 08:03:05.556036,7,High School,3,5850.0,40,19,14,14,100,14,0,0,3.4,True,1.13,-0.9,,4,4,1,Weakness,0,0.098883225104864,Very Low
83,Engineering,Male,46,Analyst,2021-06-23 08:03:05.556036,3,Bachelor,2,4800.0,35,24,10,13,0,4,85,0,1.33,False,1.11,0.83,,4,2,1,Weakness,0,0.10269546887201178,Low
84,HR,Female,28,Analyst,2016-03-23 08:03:05.556036,8,Master,1,4400.0,53,38,22,14,100,17,67,2,2.17,False,1.02,1.47,,3,4,1,Weakness,0,0.10319468336859959,Low
85,Marketing,Female,46,Specialist,2015-09-16 08:03:05.556036,8,Bachelor,2,5400.0,44,16,13,13,100,11,0,1,4.27,False,0.83,-0.06,,4,4,1,Weakness,0,0.0991720034470645,Very Low
86,Legal,Female,59,Engineer,2015-02-11 08:03:05.556036,9,Bachelor,4,8400.0,33,11,7,4,100,5,40,2,2.37,False,1.73,2.09,,4,4,0,Opportunity,0,0.09946213756859651,Very Low
87,Marketing,Male,55,Technician,2019-11-14 08:03:05.556036,4,PhD,3,4550.0,59,1,9,1,25,17,59,2,1.77,False,1.48,2.79,,4,3,0,Opportunity,0,0.10223297139785367,Low
88,Marketing,Male,52,Technician,2019-07-05 08:03:05.556036,5,Bachelor,2,4200.0,33,45,2,4,50,18,12,0,1.11,False,1.5,0.08,,5,3,1,Weakness,0,0.1012210672727299,Low
89,Finance,Female,27,Engineer,2023-11-06 08:03:05.556036,0,Master,2,7200.0,31,1,25,5,0,15,22,1,2.08,False,0.79,0.94,,3,1,1,Weakness,1,0.10210636616201206,Low
90,Customer Support,Female,39,Manager,2018-01-19 08:03:05.556036,6,Bachelor,4,8400.0,33,11,10,2,100,9,53,0,3.22,False,1.87,1.88,,4,4,0,Opportunity,0,0.09875953324465406,Very Low
91,Customer Support,Male,55,Consultant,2024-03-15 08:03:05.556036,0,Bachelor,2,6600.0,44,42,5,6,0,9,26,2,3.23,True,1.54,1.71,,5,1,2,Opportunity,0,0.09982661103104042,Very Low
92,Legal,Male,48,Developer,2019-07-13 08:03:05.556036,5,Bachelor,1,5500.0,42,11,26,12,100,15,84,1,3.69,True,0.69,2.02,,2,3,3,Opportunity,0,0.1023039241414622,Low
93,Finance,Male,50,Manager,2023-11-09 08:03:05.556036,0,High School,4,8400.0,54,9,29,7,25,15,3,2,3.66,False,1.61,1.12,,2,1,2,Opportunity,0,0.09888892538810796,Very Low
94,Engineering,Male,52,Specialist,2021-04-23 08:03:05.556036,3,High School,4,6300.0,44,19,10,7,50,1,81,1,4.1,False,2.01,2.68,,4,2,2,Opportunity,0,0.09836299114858589,Very Low
95,Operations,Male,52,Developer,2015-07-06 08:03:05.556036,9,High School,1,5500.0,47,4,19,10,0,19,33,0,4.36,False,0.52,0.66,,3,4,1,Weakness,0,0.10095964318253484,Low
96,Marketing,Female,30,Manager,2019-04-11 08:03:05.556036,5,High School,3,7800.0,49,24,20,2,50,19,43,2,1.03,True,1.72,2.08,,3,3,3,Opportunity,0,0.10231024160285258,Low
97,Engineering,Male,58,Specialist,2015-04-14 08:03:05.556036,9,PhD,3,5850.0,45,24,16,12,50,7,0,0,2.34,False,1.27,-0.92,,3,4,1,Weakness,0,0.10001106867229695,Low
98,Finance,Female,38,Manager,2015-12-31 08:03:05.556036,8,High School,3,7800.0,41,31,12,10,75,9,64,0,4.2,False,1.71,1.4,,4,4,0,Opportunity,0,0.09862977999795336,Very Low
99,Sales,Male,24,Developer,2019-11-15 08:03:05.556036,4,Bachelor,2,6000.0,50,33,0,9,0,13,37,1,4.39,False,1.39,1.4,,5,3,0,Opportunity,0,0.09893478461312552,Very Low
100,Customer Support,Other,33,Manager,2017-12-01 08:03:05.556036,6,Bachelor,3,7800.0,36,9,10,14,25,13,30,1,3.19,True,1.04,0.3,,4,4,1,Weakness,0,0.09955549344533952,Very Low
101,Finance,Female,45,Engineer,2017-12-29 08:03:05.556036,6,High School,4,8400.0,35,0,18,14,75,17,48,0,3.42,False,1.29,0.3,,3,4,1,Weakness,0,0.09895768166291215,Very Low
102,IT,Female,33,Consultant,2019-11-22 08:03:05.556036,4,High School,1,6050.0,54,31,11,3,0,2,48,1,3.63,True,1.26,2.23,,4,3,0,Opportunity,0,0.10130161137347939,Low
103,IT,Male,33,Consultant,2020-01-07 08:03:05.556036,4,Bachelor,3,7150.0,49,45,29,2,75,6,57,2,5.0,True,2.24,3.42,,2,3,3,Opportunity,1,0.09831029046242207,Very Low
104,Engineering,Male,58,Consultant,2018-01-20 08:03:05.556036,6,Bachelor,4,7700.0,59,44,18,13,100,12,53,1,2.13,False,2.13,0.73,,3,4,3,Opportunity,0,0.09995280453242618,Very Low
105,Customer Support,Female,55,Technician,2019-05-21 08:03:05.556036,5,High School,1,3850.0,58,1,1,0,0,4,29,1,2.3,False,0.76,1.8,,5,3,1,Weakness,1,0.10292634852807489,Low
106,Customer Support,Male,46,Manager,2021-09-13 08:03:05.556036,2,Bachelor,4,8400.0,36,1,6,9,50,17,10,0,2.94,False,1.33,-0.14,,4,2,1,Weakness,0,0.09862084333127057,Very Low
107,HR,Female,22,Developer,2020-12-17 08:03:05.556036,3,Bachelor,4,7000.0,34,8,17,12,100,16,1,0,2.8,False,1.3,-0.78,,3,2,1,Weakness,0,0.09875055139789066,Very Low
108,Operations,Female,37,Engineer,2015-01-26 08:03:05.556036,9,Bachelor,4,8400.0,56,26,7,9,100,15,12,2,4.68,False,1.9,1.34,,4,4,0,Opportunity,0,0.09700207017688488,Very Low
109,Sales,Male,56,Consultant,2018-08-02 08:03:05.556036,6,Bachelor,1,6050.0,51,24,2,11,75,3,82,1,2.7,False,0.94,1.85,,5,4,0,Opportunity,0,0.10247204918834822,Low
110,Sales,Male,36,Consultant,2018-09-23 08:03:05.556036,5,High School,5,8250.0,50,32,28,5,50,9,56,0,1.64,False,2.48,1.18,,2,3,3,Opportunity,0,0.09986881081489186,Very Low
111,IT,Male,43,Technician,2023-09-08 08:03:05.556036,0,Bachelor,2,4200.0,48,33,4,7,25,12,75,2,4.8,False,1.59,3.2,,5,1,2,Opportunity,0,0.09916423422261128,Very Low
112,Finance,Male,39,Analyst,2018-11-06 08:03:05.556036,5,Bachelor,1,4400.0,31,5,25,12,75,3,34,0,3.51,False,0.38,0.23,,3,3,1,Weakness,1,0.10158670600866793,Low
113,Legal,Female,30,Technician,2017-05-07 08:03:05.556036,7,Master,4,4900.0,34,14,12,8,25,2,59,0,4.5,False,1.79,1.6,,4,4,0,Opportunity,0,0.09755433958118015,Very Low
114,Customer Support,Male,35,Consultant,2024-06-07 08:03:05.556036,0,Bachelor,4,7700.0,43,14,0,14,75,5,31,2,3.58,False,1.5,0.92,,5,1,2,Opportunity,0,0.09805317629361827,Very Low
115,Legal,Female,48,Specialist,2023-06-08 08:03:05.556036,1,Bachelor,2,5400.0,32,24,1,0,25,11,88,1,1.58,False,1.55,3.1,,5,1,2,Opportunity,1,0.10227120138517415,Low
116,Customer Support,Female,56,Analyst,2021-04-26 08:03:05.556036,3,Bachelor,5,6000.0,43,5,29,8,100,11,96,0,2.47,False,2.06,2.02,,2,2,3,Opportunity,0,0.10002517596818433,Low
117,Legal,Male,26,Manager,2021-04-30 08:03:05.556036,3,High School,5,9000.0,33,4,15,3,75,17,44,2,3.24,False,2.03,2.54,,4,2,2,Opportunity,0,0.09809742615442892,Very Low
118,IT,Male,38,Consultant,2016-06-10 08:03:05.556036,8,PhD,4,7700.0,54,44,17,3,0,1,81,1,4.2,False,2.6,3.2,,3,4,3,Opportunity,0,0.09817496053254023,Very Low
119,IT,Female,27,Manager,2020-01-22 08:03:05.556036,4,Bachelor,5,9000.0,49,12,27,10,25,19,4,1,2.87,False,1.85,0.07,,2,3,3,Opportunity,0,0.09840384708539462,Very Low
120,Finance,Male,29,Specialist,2021-07-10 08:03:05.556036,3,Bachelor,3,5850.0,47,15,6,1,25,11,65,0,4.37,False,1.77,2.59,,4,2,2,Opportunity,0,0.0988628653325031,Very Low
121,Customer Support,Male,26,Specialist,2019-03-21 08:03:05.556036,5,Bachelor,1,4950.0,49,2,12,6,75,6,23,1,4.17,False,0.59,1.37,,4,3,1,Weakness,0,0.10098975292946986,Low
122,Legal,Female,25,Technician,2019-11-27 08:03:05.556036,4,High School,1,3850.0,30,42,4,11,75,6,13,1,2.94,True,0.93,0.19,,5,3,1,Weakness,1,0.10044445481038698,Low
123,Operations,Female,44,Manager,2015-08-12 08:03:05.556036,9,Bachelor,4,8400.0,53,11,28,5,0,12,60,1,4.47,False,1.92,2.49,,2,4,3,Opportunity,0,0.09867415632889162,Very Low
124,Finance,Male,46,Consultant,2014-11-04 08:03:05.556036,9,Bachelor,4,7700.0,35,31,19,7,75,14,19,0,1.14,False,1.86,-0.12,,3,4,1,Weakness,0,0.10022422197679998,Low
125,IT,Male,28,Engineer,2020-11-03 08:03:05.556036,3,High School,3,7800.0,46,4,12,7,0,1,36,2,1.39,False,1.19,1.37,,4,2,1,Weakness,0,0.10197503984015827,Low
126,Marketing,Male,34,Developer,2015-11-10 08:03:05.556036,8,High School,1,5500.0,56,6,3,12,0,6,60,0,4.65,False,0.62,1.16,,5,4,1,Weakness,0,0.10070309894816068,Low
127,Engineering,Other,59,Consultant,2014-10-01 08:03:05.556036,9,Bachelor,2,6600.0,50,44,17,0,100,16,35,0,4.4,False,1.87,1.98,,3,4,3,Opportunity,0,0.09914280389701469,Very Low
128,Sales,Male,31,Consultant,2022-06-16 08:03:05.556036,2,Bachelor,2,6600.0,59,27,22,6,100,1,44,2,1.74,False,1.37,1.78,,3,2,2,Opportunity,0,0.10279806699178702,Low
129,Sales,Male,51,Developer,2023-06-17 08:03:05.556036,1,High School,5,7500.0,45,8,7,6,50,12,66,2,1.24,True,2.05,2.21,,4,1,2,Opportunity,0,0.1003135697600192,Low
130,Sales,Other,29,Engineer,2020-05-27 08:03:05.556036,4,Bachelor,1,6600.0,39,10,25,1,100,1,66,2,1.61,False,0.9,2.93,,3,3,3,Opportunity,1,0.1042517920719605,Low
131,Engineering,Male,47,Specialist,2015-04-17 08:03:05.556036,9,Master,5,6750.0,34,14,27,6,50,15,97,2,2.84,True,2.26,3.38,,2,4,3,Opportunity,0,0.09931748364234655,Very Low
